"","x"
"1",7.26309324841464
"2",8.75299312186245
"3",8.65228394381696
"4",8.34819737142867
"5",10.7733732268839
"6",11.8093960321003
"7",13.5388413955821
"8",8.73334275654565
"9",4.89445904360546
"10",11.4668628762841
"11",6.522810176415
"12",6.92072531152602
"13",7.89768656889906
"14",6.20603846355809
"15",14.4276512697979
"16",5.54765909657536
"17",6.85012089892229
"18",8.92933002969969
"19",11.845610917805
"20",12.7537033887237
"21",1.34360803708162
"22",11.4318842669766
"23",12.0063370315481
"24",11.6976267198093
"25",9.15805936745297
"26",8.07045992837189
"27",11.7674903824566
"28",7.84256479094493
"29",12.1498381223058
"30",7.08619119889453
"31",12.4036704874858
"32",12.0964542488614
"33",9.98798903093531
"34",11.7612716903805
"35",6.4173380914091
"36",9.72949073715702
"37",11.9734540252956
"38",12.2982685411793
"39",5.89472586461162
"40",4.74889797977844
"41",8.71091037285125
"42",7.03716267416832
"43",4.30469853138774
"44",14.9493684674615
"45",8.06069685374034
"46",12.3485880890098
"47",8.11462491906663
"48",7.59470680171168
"49",10.8182032097573
"50",9.10786083131607
"51",7.5033978691172
"52",7.51772280418925
"53",13.2425660223195
"54",6.68254312117807
"55",9.4608694976169
"56",6.7559539594824
"57",5.58490710896433
"58",9.247161715426
"59",13.6325240147182
"60",9.54173015698026
"61",12.2329054800273
"62",8.07682023252003
"63",4.72253470644083
"64",8.25675823893511
"65",10.206340651591
"66",9.13968737707033
"67",11.3311809239806
"68",7.71094895307968
"69",9.15589453720314
"70",13.9594672674803
"71",3.68877605766404
"72",10.7074957306951
"73",10.3428122768632
"74",7.3016994131469
"75",14.2492507351712
"76",9.21313740290354
"77",10.068177698002
"78",13.3898775269657
"79",10.9018141613169
"80",7.03588181415019
"81",11.8892121047947
"82",6.55969244359894
"83",10.5891093470246
"84",9.10880640332903
"85",5.79083050525165
"86",9.01617678648471
"87",8.21125002869154
"88",12.3668964934829
"89",10.2598423622016
"90",7.76423136011725
"91",7.08336556231955
"92",7.29866765428753
"93",7.19206686643834
"94",7.66518319597833
"95",10.1754923166877
"96",10.2774672785198
"97",9.07927056429736
"98",3.17332103360603
"99",5.76893420320044
"100",5.40923133573602
