"","x"
"1",14.2103108280488
"2",43.1766437395415
"3",82.8409464793899
"4",137.827324571429
"5",217.911244089613
"6",309.364653440334
"7",419.129471318607
"8",523.111142521819
"9",646.314863478685
"10",820.22287625428
"11",971.74270058805
"12",1157.06908437175
"13",1360.32562189633
"14",1570.68679487853
"15",1830.09217089933
"16",2048.49219698858
"17",2316.83373632974
"18",2603.76443343233
"19",2909.48536972602
"20",3224.51234462908
"21",3514.47869345694
"22",3892.10628088992
"23",4254.02112343849
"24",4628.99208906603
"25",5012.52686455818
"26",5416.90153309457
"27",5853.22496794152
"28",6280.14188263648
"29",6750.49946040769
"30",7205.62063732965
"31",7711.34556829162
"32",8214.32151416287
"33",8727.29329676979
"34",9269.20423896794
"35",9803.39112697136
"36",10382.4316357905
"37",10973.9115134177
"38",11574.9942284706
"39",12169.6490862154
"40",12797.8296599326
"41",13459.0363679095
"42",14117.4572089139
"43",14788.3489951046
"44",15519.8312282249
"45",16208.8689895125
"46",16951.1619602967
"47",17681.0487497302
"48",18439.315689339
"49",19226.0606773659
"50",20012.3595361044
"51",20815.0113262304
"52",21639.059076014
"53",22498.1418867411
"54",23332.2751437373
"55",24213.5362316587
"56",25092.5198465316
"57",25992.6163570299
"58",26924.8238723848
"59",27875.4417467157
"60",28813.8057671899
"61",29790.7763516001
"62",30760.9227341084
"63",31749.7417823548
"64",32777.5225274631
"65",33816.0211355053
"66",34860.4656245902
"67",35931.7706030799
"68",36999.7031631769
"69",38100.5196484573
"70",39228.5315575583
"71",40322.2959201922
"72",41489.6916524356
"73",42648.4760409229
"74",43814.3389980438
"75",45029.4975024506
"76",46220.7104580097
"77",47447.5605923267
"78",48698.6329250899
"79",49946.3393805377
"80",51205.4529393805
"81",52509.630707016
"82",53795.8656414787
"83",55129.2970311567
"84",56460.3626880111
"85",57801.3027683508
"86",59180.0539226216
"87",60561.370833429
"88",61975.2229883116
"89",63384.1994745407
"90",64807.8807712004
"91",66253.6112185411
"92",67718.328892181
"93",69197.9735562215
"94",70695.5506106533
"95",72215.9183077223
"96",73744.2582242617
"97",75284.2642352143
"98",76824.5777367787
"99",78409.2297806773
"100",80000.0307711191
